Time, X, Y, Yaw, Drive_Fwd, Drive_Turn, Climb, Level_Bin
0.0020, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0000
0.0040, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0000
0.0060, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0000
0.0080, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0100, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0120, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0140, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0160, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0180, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0200, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0220, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0240, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0260, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0280, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0300, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0320, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0340, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0360, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0380, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0400, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0420, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0440, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0460, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0480, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0500, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0520, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0540, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0560, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0580, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0600, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0620, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0640, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0660, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0680, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0700, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0720, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0740, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0760, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0780, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0800, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0820, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0840, 0.0000, 0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0860, 0.0000, -0.0000, -0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0880, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0900, 0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0920, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0940, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0960, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.0980, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1000, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1020, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1040, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1060, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1080, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1100, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1120, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1140, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1160, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1180, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1200, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1220, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1240, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1260, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1280, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1300, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1320, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1340, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1360, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1380, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1400, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1420, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1440, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1460, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1480, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1500, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1520, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1540, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1560, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1580, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1600, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1620, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1640, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1660, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1680, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
0.1700, -0.0000, -0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000
